household_id,person_id,country,sex,age,relhh,marstat,educ,hosp12,wat_source,stove,refrigerator,tv,bike,motorbike,computer,car,video,stereo,sew,merge_index
1.60E+15,1,Tanzania,0,20,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,14876
8.04E+14,1,Tanzania,0,45,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,12687
5.30E+15,4,Tanzania,1,20,4,0,1,0,0,1,0,0,1,0,0,0,0,1,0,16940
5.05E+14,2,Tanzania,1,26,2,1,1,0,1,1,0,0,0,0,0,0,0,1,0,10886
1.40E+15,1,Tanzania,0,37,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,14361
1.00E+15,2,Tanzania,0,38,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,13301
1.50E+15,2,Tanzania,0,23,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,14577
7.01E+14,2,Tanzania,1,23,2,0,1,0,1,1,1,1,0,0,0,0,1,0,0,11589
7.03E+14,4,Tanzania,0,14,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,12119
7.01E+14,2,Tanzania,1,21,2,0,1,0,0,1,0,1,0,0,0,0,0,1,0,11763
1.21E+15,2,Tanzania,1,44,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,14015
2.01E+14,1,Tanzania,0,44,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,10072
2.00E+15,4,Tanzania,1,18,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,16101
5.30E+15,5,Tanzania,0,30,4,0,1,0,1,1,1,1,1,1,0,1,1,1,1,17044
5.30E+15,2,Tanzania,1,34,2,1,1,0,1,1,1,1,1,0,1,1,1,1,0,16856
5.30E+15,1,Tanzania,0,65,1,1,1,0,1,1,1,1,0,1,0,0,0,1,0,16872
1.90E+15,2,Tanzania,0,32,3,1,0,0,0,1,0,0,1,0,0,0,0,1,0,15748
7.03E+14,1,Tanzania,0,42,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,12471
1.71E+15,1,Tanzania,0,35,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,15150
4.04E+14,1,Tanzania,0,56,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10652
1.71E+15,5,Tanzania,0,22,4,1,1,0,0,0,0,0,1,0,0,0,0,1,0,15239
5.20E+15,2,Tanzania,1,47,2,1,1,0,1,1,1,1,1,1,0,0,1,1,0,16518
1.30E+15,1,Tanzania,0,55,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,14108
9.05E+14,2,Tanzania,1,40,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,13164
7.03E+14,2,Tanzania,1,38,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,12488
9.03E+14,2,Tanzania,1,21,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,13014
1.20E+15,1,Tanzania,0,51,1,1,2,0,0,0,0,0,1,0,0,0,0,1,0,13868
1.80E+15,2,Tanzania,1,46,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15376
5.02E+14,2,Tanzania,1,43,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,10791
5.30E+15,4,Tanzania,0,23,3,1,1,0,0,1,0,0,1,0,0,0,0,1,1,16777
8.01E+14,1,Tanzania,1,58,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12569
7.01E+14,3,Tanzania,1,30,4,0,1,0,1,1,1,1,1,0,1,1,1,1,1,11328
1.80E+15,4,Tanzania,0,17,4,0,0,0,0,1,1,1,0,0,0,0,0,1,0,15439
1.11E+15,1,Tanzania,0,48,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,13658
1.71E+15,17,Tanzania,1,18,4,1,1,0,0,1,0,0,1,0,0,0,0,1,0,15352
1.00E+15,2,Tanzania,1,31,2,1,1,0,0,1,0,0,0,0,0,0,0,1,0,13266
7.03E+14,3,Tanzania,0,16,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,12364
2.03E+14,2,Tanzania,1,26,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,10144
1.30E+15,6,Tanzania,0,17,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,14104
8.05E+14,5,Tanzania,0,31,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12743
7.03E+14,2,Tanzania,1,42,2,1,1,0,0,1,1,1,0,0,1,0,1,1,0,12187
4.05E+14,2,Tanzania,1,16,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10687
5.05E+14,2,Tanzania,1,49,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0,10909
1.60E+15,6,Tanzania,1,17,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,14745
7.03E+14,1,Tanzania,0,40,1,1,2,0,0,1,1,1,0,0,0,0,1,1,0,12361
7.03E+14,1,Tanzania,1,52,1,0,2,1,0,1,1,1,0,0,0,0,1,1,0,12318
5.50E+15,2,Tanzania,1,27,2,1,1,0,1,1,1,1,0,0,0,0,1,1,1,17361
1.00E+15,4,Tanzania,1,16,3,0,1,0,1,1,0,0,0,0,0,0,0,1,0,13339
7.01E+14,2,Tanzania,1,51,2,1,1,0,0,1,1,1,0,0,0,0,1,1,1,11665
5.40E+15,5,Tanzania,1,21,4,0,1,0,0,1,0,1,1,0,0,0,0,1,1,17153
9.02E+14,1,Tanzania,1,33,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12914
1.21E+15,2,Tanzania,1,28,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0,13974
7.02E+14,13,Tanzania,0,17,3,0,1,0,1,1,1,1,0,1,0,0,1,1,0,11933
7.02E+14,1,Tanzania,1,31,1,0,2,1,0,1,1,1,0,0,0,0,1,1,0,12040
1.21E+15,3,Tanzania,1,17,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,13936
1.20E+15,1,Tanzania,0,26,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,13768
7.01E+14,2,Tanzania,1,30,2,1,1,0,0,1,0,1,0,0,0,0,0,1,0,11504
8.01E+14,3,Tanzania,0,27,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,12571
5.30E+15,1,Tanzania,1,71,1,1,2,0,0,1,0,1,1,0,0,0,1,1,1,16630
1.90E+15,2,Tanzania,1,30,2,1,1,1,0,1,0,1,0,0,0,0,0,1,0,15843
1.11E+15,1,Tanzania,0,37,1,0,1,0,1,0,0,1,1,0,0,1,1,1,0,13720
1.01E+15,3,Tanzania,0,19,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,13437
7.01E+14,1,Tanzania,1,39,1,0,2,0,1,1,1,1,0,0,0,0,0,0,0,11454
1.21E+15,3,Tanzania,0,17,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,13964
7.01E+14,3,Tanzania,1,26,3,0,1,0,0,1,0,1,0,0,0,0,1,1,0,11365
1.60E+15,2,Tanzania,1,40,2,0,1,0,0,1,0,0,1,0,0,0,0,1,0,14685
4.06E+14,1,Tanzania,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10718
5.30E+15,2,Tanzania,1,51,2,1,2,0,0,1,1,1,1,1,1,1,1,1,1,16657
6.01E+14,11,Tanzania,1,28,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11024
1.00E+15,1,Tanzania,0,43,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,13229
1.90E+15,3,Tanzania,0,28,4,0,1,0,0,1,0,1,0,0,1,0,0,1,0,15799
2.00E+15,4,Tanzania,1,16,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,16137
7.01E+14,9,Tanzania,1,36,4,1,1,0,0,1,1,1,0,0,0,0,0,0,0,11411
7.01E+14,2,Tanzania,1,56,2,1,3,0,0,1,1,1,0,0,1,1,1,1,0,11717
1.05E+14,2,Tanzania,0,73,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10055
5.30E+15,3,Tanzania,0,28,4,0,2,0,0,1,0,1,1,0,0,0,1,1,1,16632
1.90E+15,1,Tanzania,0,33,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,15683
